Timestamp,PID,Process Name,Memory Usage (MB)
2024-12-07T01:32:38.185933,1637406,nvim,7.68359375
2024-12-07T01:32:38.186101,1637409,nvim,28.33984375
2024-12-07T01:32:38.339856,1637406,nvim,7.68359375
2024-12-07T01:32:38.339993,1637409,nvim,28.33984375
2024-12-07T01:32:38.488115,1637406,nvim,7.68359375
2024-12-07T01:32:38.488244,1637409,nvim,28.33984375
2024-12-07T01:32:38.636459,1637406,nvim,7.68359375
2024-12-07T01:32:38.636590,1637409,nvim,28.33984375
2024-12-07T01:32:38.795620,1637406,nvim,7.68359375
2024-12-07T01:32:38.795744,1637409,nvim,28.33984375
2024-12-07T01:32:38.954570,1637406,nvim,7.68359375
2024-12-07T01:32:38.954758,1637409,nvim,28.33984375
2024-12-07T01:32:39.103932,1637406,nvim,7.68359375
2024-12-07T01:32:39.104110,1637409,nvim,28.33984375
2024-12-07T01:32:39.269099,1637406,nvim,7.68359375
2024-12-07T01:32:39.269280,1637409,nvim,28.33984375
2024-12-07T01:32:39.417243,1637406,nvim,7.68359375
2024-12-07T01:32:39.417364,1637409,nvim,28.33984375
2024-12-07T01:32:39.565195,1637406,nvim,7.68359375
2024-12-07T01:32:39.565319,1637409,nvim,28.33984375
2024-12-07T01:32:39.714136,1637406,nvim,7.68359375
2024-12-07T01:32:39.714264,1637409,nvim,28.33984375
2024-12-07T01:32:39.876080,1637406,nvim,7.68359375
2024-12-07T01:32:39.876203,1637409,nvim,28.33984375
2024-12-07T01:32:40.023697,1637406,nvim,7.68359375
2024-12-07T01:32:40.023818,1637409,nvim,28.33984375
2024-12-07T01:32:40.171427,1637406,nvim,7.68359375
2024-12-07T01:32:40.171591,1637409,nvim,28.33984375
2024-12-07T01:32:40.320032,1637406,nvim,7.68359375
2024-12-07T01:32:40.320156,1637409,nvim,28.33984375
2024-12-07T01:32:40.468616,1637406,nvim,7.68359375
2024-12-07T01:32:40.468757,1637409,nvim,28.33984375
2024-12-07T01:32:40.628763,1637406,nvim,7.68359375
2024-12-07T01:32:40.628937,1637409,nvim,28.33984375
2024-12-07T01:32:40.778788,1637406,nvim,7.68359375
2024-12-07T01:32:40.778908,1637409,nvim,28.33984375
2024-12-07T01:32:40.928851,1637406,nvim,7.68359375
2024-12-07T01:32:40.928991,1637409,nvim,28.33984375
2024-12-07T01:32:41.077362,1637406,nvim,7.68359375
2024-12-07T01:32:41.077488,1637409,nvim,28.33984375
2024-12-07T01:32:41.232854,1637406,nvim,7.68359375
2024-12-07T01:32:41.232982,1637409,nvim,28.33984375
2024-12-07T01:32:41.381597,1637406,nvim,7.68359375
