Timestamp,PID,Process Name,Memory Usage (MB)
2024-12-07T01:33:52.531972,1637406,nvim,7.68359375
2024-12-07T01:33:52.532165,1637409,nvim,28.33984375
2024-12-07T01:33:52.533854,1706156,nvim,8.4140625
2024-12-07T01:33:52.533990,1706159,nvim,21.82421875
2024-12-07T01:33:52.684686,1637406,nvim,7.68359375
2024-12-07T01:33:52.684822,1637409,nvim,28.33984375
2024-12-07T01:33:52.686102,1706156,nvim,8.4140625
2024-12-07T01:33:52.686230,1706159,nvim,21.82421875
2024-12-07T01:33:52.834329,1637406,nvim,7.68359375
2024-12-07T01:33:52.834481,1637409,nvim,28.33984375
2024-12-07T01:33:52.835761,1706156,nvim,8.4140625
2024-12-07T01:33:52.835870,1706159,nvim,21.82421875
2024-12-07T01:33:52.983408,1637406,nvim,7.68359375
2024-12-07T01:33:52.983540,1637409,nvim,28.33984375
2024-12-07T01:33:52.984758,1706156,nvim,8.4140625
2024-12-07T01:33:52.984864,1706159,nvim,21.82421875
2024-12-07T01:33:53.132334,1637406,nvim,7.68359375
2024-12-07T01:33:53.132460,1637409,nvim,28.33984375
2024-12-07T01:33:53.133740,1706156,nvim,8.4140625
2024-12-07T01:33:53.133850,1706159,nvim,21.82421875
2024-12-07T01:33:53.281274,1637406,nvim,7.68359375
2024-12-07T01:33:53.281393,1637409,nvim,28.33984375
2024-12-07T01:33:53.282638,1706156,nvim,8.4140625
2024-12-07T01:33:53.282744,1706159,nvim,21.82421875
2024-12-07T01:33:53.430144,1637406,nvim,7.68359375
2024-12-07T01:33:53.430262,1637409,nvim,28.33984375
2024-12-07T01:33:53.431582,1706156,nvim,8.4140625
2024-12-07T01:33:53.431692,1706159,nvim,21.82421875
2024-12-07T01:33:53.578621,1637406,nvim,7.68359375
2024-12-07T01:33:53.578743,1637409,nvim,28.33984375
2024-12-07T01:33:53.579970,1706156,nvim,8.4140625
2024-12-07T01:33:53.580075,1706159,nvim,21.82421875
2024-12-07T01:33:53.727431,1637406,nvim,7.68359375
2024-12-07T01:33:53.727571,1637409,nvim,28.33984375
2024-12-07T01:33:53.728914,1706156,nvim,8.4140625
2024-12-07T01:33:53.729026,1706159,nvim,21.82421875
2024-12-07T01:33:53.877033,1637406,nvim,7.68359375
2024-12-07T01:33:53.877154,1637409,nvim,28.33984375
2024-12-07T01:33:53.878378,1706156,nvim,8.4140625
2024-12-07T01:33:53.878485,1706159,nvim,21.82421875
2024-12-07T01:33:54.026051,1637406,nvim,7.68359375
2024-12-07T01:33:54.026176,1637409,nvim,28.33984375
2024-12-07T01:33:54.027400,1706156,nvim,8.4140625
2024-12-07T01:33:54.027517,1706159,nvim,21.82421875
2024-12-07T01:33:54.174053,1637406,nvim,7.68359375
2024-12-07T01:33:54.174179,1637409,nvim,28.33984375
2024-12-07T01:33:54.175437,1706156,nvim,8.4140625
2024-12-07T01:33:54.175600,1706159,nvim,21.82421875
2024-12-07T01:33:54.325390,1637406,nvim,7.68359375
2024-12-07T01:33:54.325564,1637409,nvim,28.33984375
2024-12-07T01:33:54.326801,1706156,nvim,8.4140625
2024-12-07T01:33:54.326912,1706159,nvim,21.82421875
2024-12-07T01:33:54.474232,1637406,nvim,7.68359375
2024-12-07T01:33:54.474386,1637409,nvim,28.33984375
2024-12-07T01:33:54.475633,1706156,nvim,8.4140625
2024-12-07T01:33:54.475743,1706159,nvim,21.82421875
2024-12-07T01:33:54.623253,1637406,nvim,7.68359375
2024-12-07T01:33:54.623401,1637409,nvim,28.33984375
2024-12-07T01:33:54.624688,1706156,nvim,8.4140625
2024-12-07T01:33:54.624799,1706159,nvim,21.82421875
2024-12-07T01:33:54.772443,1637406,nvim,7.68359375
2024-12-07T01:33:54.772631,1637409,nvim,28.33984375
2024-12-07T01:33:54.773859,1706156,nvim,8.4140625
2024-12-07T01:33:54.773968,1706159,nvim,21.82421875
2024-12-07T01:33:54.927765,1637406,nvim,7.68359375
2024-12-07T01:33:54.927914,1637409,nvim,28.33984375
2024-12-07T01:33:54.929134,1706156,nvim,8.4140625
2024-12-07T01:33:54.929245,1706159,nvim,21.82421875
2024-12-07T01:33:55.076880,1637406,nvim,7.68359375
2024-12-07T01:33:55.077012,1637409,nvim,28.33984375
2024-12-07T01:33:55.078229,1706156,nvim,8.4140625
2024-12-07T01:33:55.078335,1706159,nvim,21.82421875
2024-12-07T01:33:55.225487,1637406,nvim,7.68359375
2024-12-07T01:33:55.225640,1637409,nvim,28.33984375
2024-12-07T01:33:55.226880,1706156,nvim,8.4140625
2024-12-07T01:33:55.226988,1706159,nvim,21.82421875
2024-12-07T01:33:55.373988,1637406,nvim,7.68359375
2024-12-07T01:33:55.374122,1637409,nvim,28.33984375
2024-12-07T01:33:55.375360,1706156,nvim,8.4140625
2024-12-07T01:33:55.375472,1706159,nvim,21.82421875
2024-12-07T01:33:55.522958,1637406,nvim,7.68359375
2024-12-07T01:33:55.523113,1637409,nvim,28.33984375
2024-12-07T01:33:55.524350,1706156,nvim,8.4140625
2024-12-07T01:33:55.524462,1706159,nvim,21.82421875
2024-12-07T01:33:55.672404,1637406,nvim,7.68359375
2024-12-07T01:33:55.672543,1637409,nvim,28.33984375
2024-12-07T01:33:55.673803,1706156,nvim,8.4140625
2024-12-07T01:33:55.673920,1706159,nvim,21.82421875
